RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,Flourishing,PANAS_PA,PANAS_NA,SHS,Loneliness,SCS,Stress,Homesick,Engagement
128,Direct,21,Fourth,no,1,post,6.25,3.8,1.2,4,1.1,5.45,1,4,5
129,Indirect,21,Third,no,1,pre,6,3,2.6,3.3333333333333335,2.25,4.45,2,3,4
129,Indirect,21,Third,no,1,post,6.375,4,3,4,1.75,4.35,1,4,5
130,Control,18,First,yes,1,pre,4.625,3.2,3.2,2.6666666666666665,2.45,3.7,4,5,3
130,Control,18,First,yes,1,post,4.875,2.2,1.2,3,2,4.05,3,5,2
131,Direct,19,First,no,1,pre,3.875,2.6,2.6,1,2.6,3.55,4,3,2
131,Direct,19,First,no,1,post,4.5,2.4,1.8,1.6666666666666667,2.45,3.55,3,2,4
132,Indirect,19,First,no,1,pre,5.875,3.2,2.4,3,2,4.578947368421052,3,3,2
132,Indirect,19,First,no,1,post,6,3.2,1.4,3,1.85,4.8,2,4,3
133,Control,19,Second,no,2,pre,6.125,3.6,1.8,4,1.75,4.9,3,3,4
133,Control,19,Second,no,2,post,5.875,3.8,2,4,1.75,4.4,2,3,2
134,Direct,24,Second,yes,2,pre,6.25,3.6,1,3.3333333333333335,1.55,5.15,2,2,2
134,Direct,24,Second,yes,2,post,6.75,4.6,1,4,1.25,5.8,1,4,4
135,Indirect,18,First,no,1,pre,4.75,2.6,2.4,3.3333333333333335,1.45,5,3,4,4
135,Indirect,18,First,no,1,post,5,2.8,1.2,3.6666666666666665,1.35,5,2,4,4
136,Control,18,First,no,1,pre,4.25,3.4,2.4,1.3333333333333333,2.45,3.75,3,5,4
136,Control,18,First,no,1,post,3.5,2.8,1.2,1.6666666666666667,2.7,3.7,3,5,3
137,Direct,22,Third,NA,3,pre,6,3.6,2.8,3.6666666666666665,2.5,4.45,2,4,2
