StudentIDE,MA1E,MA2E,MA3E,MA4E,MA5E,MA6E,MA7E,MA8E,QANX1E,QANX2E,QANX3E,QANX4E,QINFL1E,QINFL2E,QINFL3E,QINFL4E,QINFL5E,QINFL6E,QINFL7E,QSF1E,QSF2E,QSF3E,QSF4E,QHIND1E,QHIND2E,QHIND3E,QHIND4E,QHIND5E,QSC1E,QSC2E,QSC3E,QSC4E,QSE1E,QSE2E,QSE3E,QSE4E,QSE5E,QSE6E,SPSS1E,SPSS2E,SPSS3E,SPSS4E,SPSS5E,SPSS6E,SPSS7E,SPSS8E,SPSS9E,SPSS10E,Mean_MA,Mean_QANX,Mean_QINFL,Mean_QSF,Mean_QHIND,Mean_QSC,Mean_QSE,Mean_SPSS,GenderE,RaceEthE,RaceEthE_tidy,GradeE,GradeE_tidy,StuStaE,GPAE,MajorE,MajorE_tidy,AgeE
21,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2.75,3,3,3,3,2.75,3.166666667,3.4,1,4,Multiracial,3,C,4,2.5,7,HDF,22
22,1,5,5,1,2,1,2,2,3,3,3,3,2,2,2,4,4,3,3,5,5,5,5,3,4,2,2,2,2,4,1,1,5,5,5,1,1,3,5,5,5,5,5,3,5,5,5,1,1.625,3,2.857142857,5,2.6,2.5,3.333333333,4,1,3,White,2,B,3,3,1,Psychology,20
23,4,2,3,4,3,2,5,1,3,3,4,3,1,1,1,1,1,1,1,4,4,4,4,2,2,1,2,4,4,1,2,3,3,4,4,5,4,3,5,1,1,5,5,5,5,5,5,5,2.75,3.25,1,4,2.2,4,3.833333333,4.6,1,5,Asian/Pacific Islander,A,A,Senior,3,Health Studies,Health Studies,21
24,4,2,2,3,3,1,4,2,3,3,3,3,1,2,1,1,5,4,5,4,4,4,4,4,4,1,4,4,4,2,2,4,1,4,4,4,4,4,2,4,4,2,5,5,3,3,2,4,2.875,3,2.714285714,4,3.4,4,3.5,2.8,1,3,White,A,A,Senior,2.5,Psychology,Psychology,21
25,5,1,3,5,3,1,1,3,1,1,1,1,1,3,5,3,5,3,5,3,3,3,3,1,1,1,1,5,3,1,1,4,1,5,5,5,5,5,3,1,3,3,3,3,3,3,3,3,3.75,1,3.571428571,3,1.8,4.25,4.333333333,3.2,1,4,Multiracial,A,A,Senior,3,communicative disorders,Health Studies,22
26,5,1,1,5,5,1,4,1,1,1,1,1,1,3,3,5,5,5,5,5,5,5,5,1,1,1,1,1,5,1,1,5,4,5,5,5,5,5,4,1,1,4,5,2,2,5,3,1,3.625,1,3.857142857,5,1,5,4.833333333,4,1,3,White,1,A,3,4,2,Health Studies,21
27,1,5,5,1,1,1,4,1,5,5,5,4,3,3,3,5,5,5,5,5,5,5,5,2,1,2,3,2,1,4,1,2,1,1,3,3,2,2,1,4,4,1,1,1,1,1,1,1,1.125,4.75,4.142857143,5,2,2.5,2,1.6,1,3,White,A,A,Junior,2.5,health studies,Health Studies,21
28,3,4,5,2,3,1,4,2,4,2,3,2,4,4,4,4,3,3,3,4,5,3,1,3,2,4,4,4,3,3,2,3,3,3,4,1,3,3,3,3,3,3,4,1,4,4,3,4,2,2.75,3.571428571,3.25,3.4,3.25,2.833333333,3,1,3,White,2,B,3,2.7,2,Health Studies,20
29,1,5,5,1,3,1,1,3,5,4,4,4,1,3,3,3,3,4,3,4,4,4,5,4,4,1,4,4,4,4,4,1,3,3,3,5,2,3,1,5,2,2,1,1,3,1,1,1,2,4.25,2.857142857,4.25,3.4,2.25,3.166666667,2,1,3,White,2,B,3,3,1,Psychology,21
30,2,5,4,2,3,2,5,1,5,5,5,5,1,1,1,4,4,2,2,5,5,5,5,4,3,5,5,5,2,5,4,1,3,4,4,5,3,3,4,1,1,3,4,3,1,4,4,2,1.75,5,2.142857143,5,4.4,1.5,3.666666667,3.7,1,3,White,1,A,3,3,1,Psychology,21
